Index,Strain,Replicate,Treatment,Buffer,DATA_Type,From,Nucleic-Acid-ID,other
ID_BST_Por12_MetaG,Porites,12,Modified-microbiome,DESS,FastQ-ONT,ID-BST,ID_BST_Por12_MetaG,ONT_pilot
host_raw_reads,Porites,00,BT_supernattant,DESS,FastQ-ONT,Kaust-anna,other,nope
